OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
"124","27455","358","9","29197",Greensboro,,122.615337192177,816075696.678345,198282.860420201
"125","27498",,,"13",Greensboro,Population <500 and Cases <5,,3369264.12316895,7774.18760349114
"126","27501","405","2","21338",Angier,,189.802230762021,1683348454.90833,329143.189780915
"127","27502","452","3","43747",Apex,,103.32137060827,840126405.51062,242725.298081049
"128","27503","30","0","7222",Bahama,,41.539739684298,1054708975.44934,246183.053747647
"129","27504","340","4","16320",Benson,,208.333333333333,2584462015.08862,486262.181304732
"130","27505","157","5","7308",Broadway,,214.833059660646,1509842573.20557,320128.840505679
"131","27507","38","1","2053",Bullock,,185.094982951778,1354883649.98218,266873.357504053
"132","27508","51","0","2340",Bunn,,217.948717948718,312599782.273071,114289.902416244
"133","27509","673","28","6935",Butner,,970.439798125451,507253453.414795,156294.942704551
"134","27510","249","4","14543",Carrboro,,171.216392766279,88705554.5671387,57867.6032694508
"135","27511","459","3","34041",Cary,,134.837401956464,333520579.048462,98702.6527265331
"136","27513","438","3","49003",Cary,,89.3822827173846,474399121.186279,162336.294574525
"137","27514","722","20","32847",Chapel Hill,,219.806983895028,579057212.663452,190879.985276748
"138","27516","754","12","44117",Chapel Hill,,170.909173334542,2564236091.9281,438904.079251583
"139","27517","353","4","28831",Chapel Hill,,122.43765391419,1520140847.99951,299162.993678501
"140","27518","208","1","22765",Cary,,91.3683285745662,262665807.612671,130741.025823352
"141","27519","498","4","59960",Cary,,83.0553702468312,609072010.422363,166930.324843009
"142","27520","1005","27","43958",Clayton,,228.627326083989,1962402119.35425,374945.851452289
"143","27521","130","2","7149",Coats,,181.843614491537,721041350.168091,174373.299688566
"144","27522","263","1","13652",Creedmoor,,192.645766188104,2172960809.67273,361578.814896966
"145","27523","141","0","12782",Apex,,110.311375371616,1210964088.06177,294058.887697931
"146","27524","357","4","13532",Four Oaks,,263.819095477387,3831785222.9375,530912.577014992
"147","27525","278","1","15534",Franklinton,,178.962276297155,2660281050.9928,421324.476104612
"148","27526","674","14","54027",Fuquay Varina,,124.752438595517,2787678657.25134,460586.982042285
"149","27527","441","1","30234",Clayton,,145.862274260766,1261348608.45837,213730.175971786
"150","27529","1030","28","53854",Garner,,191.257845285401,1666161335.17407,336033.618547781
"151","27530","761","23","40212",Goldsboro,,189.246990947976,2920081393.96802,465673.796837526
"152","27531","3","0","666",Goldsboro,,45.045045045045,123956304.007813,71472.4653387502
"153","27534","714","14","31819",Goldsboro,,224.394229862661,1995982542.31616,394454.137280507
"154","27536","476","32","16459",Henderson,,289.203475302266,359552678.037964,148817.062353839
"155","27537","509","11","25321",Henderson,,201.01891710438,5545289733.50195,795404.906342346
"156","27539","297","2","26567",Apex,,111.792825686001,805959451.628174,335082.894750929
"157","27540","410","1","39075",Holly Springs,,104.926423544466,1299006108.57275,339054.617126205
"158","27541","40","1","4044",Hurdle Mills,,98.9119683481701,1979862536.66309,328579.598479954
"159","27542","168","3","10043",Kenly,,167.280693020014,2499059670.1123,366253.348192187
"160","27544","54","0","4291",Kittrell,,125.844791423911,1645813165.28467,322022.503716068
"161","27545","706","22","30327",Knightdale,,232.795858475946,885541868.759766,219250.012614228
"162","27546","543","28","22436",Lillington,,242.021750757711,3433026188.83105,510775.88711738
"163","27549","563","27","25224",Louisburg,,223.200126863305,6636124442.18066,817297.028533166
"164","27551","22","1","2205",Macon,,99.7732426303855,2443966870.98499,402849.299843212
"165","27553","29","0","2030",Manson,,142.857142857143,1245206626.07959,217969.561788749
"166","27556","7","0","298",Middleburg,,234.89932885906,67850312.0914307,63490.7222823736
"167","27557","179","2","9214",Middlesex,,194.269589754721,2046463550.40088,338861.342265204
"168","27559","34","0","2874",Moncure,,118.30201809325,1458825370.29968,366837.077035256
"169","27560","376","1","33691",Morrisville,,111.602505120062,794384947.373291,268297.11970144
"170","27562","29","0","2791",New Hill,,103.905410247223,1862081556.93738,349507.762295745
"171","27563","103","1","5312",Norlina,,193.900602409639,1943381370.69177,412640.540954252
"172","27565","657","25","26057",Oxford,,252.139540238707,9219811779.9552,826827.222809144
"173","27569","199","0","8984",Princeton,,221.504897595726,2107084820.73511,313917.550563748
"174","27571","83","0","7385",Rolesville,,112.389979688558,149121249.193359,94251.9264704589
"175","27572","67","0","7316",Rougemont,,91.5800984144341,3003228111.9873,397658.617230022
"176","27573","139","7","11561",Roxboro,,120.231813856933,501787874.430542,219611.309648669
"177","27574","156","0","15232",Roxboro,,102.415966386555,5527133817.3114,691755.452465683
"178","27576","642","8","20197",Selma,,317.868990444125,2407427117.65723,339571.106645256
"179","27577","746","6","25214",Smithfield,,295.867375267708,2877290650.99841,416726.966278933
"180","27581","53","0","3956",Stem,,133.973710819009,1038615853.81189,246789.101888964
"181","27583","95","0","7012",Timberlake,,135.482030804335,1327957318.65857,326956.719649922
"182","27587","978","31","74087",Wake Forest,,132.006964784645,3132804734.81897,700749.84181148
"183","27589","170","4","8312",Warrenton,,204.523580365736,4790731000.68542,626837.217934379
"184","27591","487","4","23448",Wendell,,207.69361992494,1913446220.02844,380727.392057269
"185","27592","261","1","17368",Willow Spring,,150.276370336251,1090932847.86865,312475.180771683
"186","27596","240","1","18655",Youngsville,,128.651835968909,1519151285.28821,344366.073155402
"187","27597","452","5","25494",Zebulon,,177.29661881227,3191967656.80884,568385.679042481
"188","27599","8","0","0",Chapel Hill,,,4275416.30163574,15555.1510255833
"189","27601","166","2","12139",Raleigh,,136.749320372354,49970514.2080078,41226.7428180515
"190","27603","1057","5","55479",Raleigh,,190.522540060203,1420350588.63403,346107.072534996
"191","27604","1216","26","47645",Raleigh,,255.220904606989,550434833.049927,194088.121184431
"192","27605","109","3","5253",Raleigh,,207.500475918523,26954475.7900391,26465.2700663817
"193","27606","863","2","47938",Raleigh,,180.024197922316,750229681.939209,267151.497057326
"194","27607","646","3","30296",Raleigh,,213.229469236863,519162282.902344,200611.380547666
"195","27608","166","1","11603",Raleigh,,143.066448332328,91889809.9622803,55583.7467967219
"196","27609","709","12","38631",Raleigh,,183.531360824209,310136046.756592,95880.163026763
"197","27610","2450","43","74203",Raleigh,,330.175329838416,1211166911.84558,327751.489063642
"198","27612","536","6","39208",Raleigh,,136.706794531728,428868509.332275,164483.082879678
"199","27613","518","7","46521",Raleigh,,111.347563465962,675406849.409912,184431.643996557
"200","27614","410","8","37689",Raleigh,,108.785056647828,829063194.918701,218912.319813944
"201","27615","644","20","46038",Raleigh,,139.884443285981,525952454.993774,134192.839940925
"202","27616","1195","7","55260",Raleigh,,216.250452406804,646426991.218628,201092.505637391
"203","27617","236","1","19511",Raleigh,,120.957408641279,230483847.672241,125016.743498849
"204","27701","670","6","26489",Durham,,252.935180641021,147212202.097778,89264.6755119976
"205","27703","1680","9","61351",Durham,,273.834167332236,1376809528.09961,349864.156739061
"206","27704","1564","18","39369",Durham,,397.266885112652,1307759376.10449,279407.953507315
"207","27705","1319","44","48078",Durham,,274.345854652856,1155101566.94189,288440.086812307
"208","27706",,,"10",Durham,Population <500 and Cases <5,,1281872.18347168,6816.757693542
"209","27707","1151","5","47036",Durham,,244.706182498512,551326002.510864,228660.826032165
"210","27708","6","0","4635",Durham,,12.9449838187702,24140532.868042,39624.2440738689
"211","27709","21","0","4",Durham,,,166810196.870483,93465.8554704913
"212","27710",,,"0",Durham,Population <500 and Cases <5,,3645590.83996582,9509.21127183631
"213","27711",,,"62",Durham,Population <500 and Cases <5,,11690491.0200195,25227.7794868175
"214","27712","416","21","22055",Durham,,188.619360689186,952678558.948486,239427.124284805
"215","27713","821","4","53996",Durham,,152.048299874065,1004016276.63342,186930.768828538
"216","27801","519","14","21556",Rocky Mount,,240.768231582854,1947625744.14368,298032.749540484
"217","27803","453","7","22337",Rocky Mount,,202.802524958589,1209689022.16736,314786.382274833
"218","27804","774","20","29160",Rocky Mount,,265.432098765432,1207912397.80139,237805.719395058
"219","27805","98","0","3769",Aulander,,260.015919342001,3260348789.01416,427031.578041759
"220","27806","21","0","2441",Aurora,,86.03031544449,3806890944.80762,575449.481817415
"221","27807","237","3","6940",Bailey,,341.49855907781,1393278091.89233,266050.599193056
"222","27808","35","1","2481",Bath,,141.072148327287,1375581489.5946,320371.987641635
"223","27809","135","2","5254",Battleboro,,256.947087933003,2127311815.53979,418206.140952668
"224","27810","45","0","4224",Belhaven,,106.534090909091,5320714553.85889,863428.562860575
"225","27812","61","0","2951",Bethel,,206.709589969502,1796512894.90283,307599.921723871
"226","27813","4","0","687",Black Creek,,58.2241630276565,17954681.8726807,21851.3845296183
"227","27814","23","0","1801",Blounts Creek,,127.706829539145,2084052221.88855,349050.345630614
"228","27816","58","0","2634",Castalia,,220.197418375095,1727056405.90051,269780.663460198
"229","27817","140","2","7777",Chocowinity,,180.01800180018,3011254799.10022,441922.251479678
"230","27818","40","0","1269",Como,,315.208825847124,1775223218.97412,291672.91933713
"231","27820","44","2","3292",Conway,,133.657351154313,1787180209.86865,300570.413456991
"232","27821",,,"343",Edward,Population <500 and Cases <5,,180879118.265869,102716.617789089
"233","27822","197","3","9119",Elm City,,216.032459699528,2421416079.34338,500329.938801193
"234","27823","162","1","7812",Enfield,,207.373271889401,5279947738.18738,591795.38238411
"235","27824","24","0","1540",Engelhard,,155.844155844156,5755622445.56714,766498.765242208
"236","27826","35","2","1245",Fairfield,,281.124497991968,5502010014.61365,681909.128335756
"237","27827","6","0","99",Falkland,,606.060606060606,6818760.54968262,12365.1347191574
"238","27828","163","2","9031",Farmville,,180.489425312811,1954373169.79175,304535.643741104
"239","27829","30","1","1872",Fountain,,160.25641025641,1242859232.87109,276952.810668188
"240","27830","86","1","4858",Fremont,,177.027583367641,1661392631.86707,301522.072838785
"241","27831","78","1","3588",Garysburg,,217.391304347826,1733783751.73071,369102.732751728
"242","27832","83","0","2912",Gaston,,285.027472527473,1029571544.94922,217897.088475999
"243","27834","1529","11","57505",Greenville,,265.889922615425,5082356628.8689,890421.476518531
"244","27837","106","1","6506",Grimesland,,162.926529357516,1710764546.60681,462288.004070908
"245","27839","40","0","3702",Halifax,,108.049702863317,3728459644.54443,454921.143892168
"246","27840","23","2","535",Hamilton,,429.906542056075,127567387.286499,59155.8177418193
"247","27841",,,"84",Hassell,Population <500 and Cases <5,,5972995.94189453,12505.2057352129
"248","27842","13","0","1436",Henrico,,90.5292479108635,414285932.678223,116849.514846702
"249","27843","24","0","946",Hobgood,,253.69978858351,1458584246.23853,232329.162988765
"250","27844","76","1","3039",Hollister,,250.0822639026,1251113401.94934,274076.283965929
"251","27845","25","0","2841",Jackson,,87.9971840901091,2842001076.66528,416912.567186113
"252","27846","50","1","3069",Jamesville,,162.919517758227,3050744149.28796,442133.927899832
"253","27847","22","0","1071",Kelford,,205.415499533147,1048559305.60547,265580.578438826
"254","27849","39","2","1483",Lewiston Woodville,,262.98044504383,2062202839.65674,367759.436044123
"255","27850","65","0","7413",Littleton,,87.6837987319574,5554617534.52942,570792.398502674
"256","27851","130","1","5595",Lucama,,232.350312779267,1253082833.57764,200836.347936783
"257","27852","50","0","3454",Macclesfield,,144.759698899826,1418996205.83582,268041.951522527
"258","27853","11","0","436",Margarettsville,,252.293577981651,1061331085.73535,233986.055045062
"259","27855","143","1","6105",Murfreesboro,,234.234234234234,1379257056.24951,246550.621363096
"260","27856","382","4","17301",Nashville,,220.796485752269,3696764195.94336,508647.139191863
"261","27857","43","1","1601",Oak City,,268.582136164897,2180191629.70935,354763.313675516
"262","27858","1836","7","58170",Greenville,,315.626611655493,1683129152.90881,395293.630437
"263","27860","45","1","2062",Pantego,,218.23472356935,4384086912.80859,475177.331131482
"264","27862","9","1","945",Pendleton,,95.2380952380952,1337735767.81812,305131.144563485
"265","27863","200","1","12670",Pikeville,,157.85319652723,1822358483.62146,414140.550515842
"266","27864","112","2","4823",Pinetops,,232.2206095791,1058515929.69434,223861.53375515
"267","27865","27","1","2003",Pinetown,,134.797803295057,3183419700.15735,407140.115990912
"268","27866","22","1","672",Pleasant Hill,,327.380952380952,548856343.547363,183824.668332886
"269","27869","90","11","2167",Rich Square,,415.320719889248,2314340977.34839,283794.508144883
"270","27870","512","15","26633",Roanoke Rapids,,192.242706416851,1958976214.39966,237465.130853914
"271","27871","85","3","4466",Robersonville,,190.326914464846,2640265625.23401,370404.169208956
"272","27872","10","0","429",Roxobel,,233.100233100233,78668396.3901367,60062.9164687203
"273","27874","90","1","4766",Scotland Neck,,188.837599664289,3988089594.78687,425091.541566969
"274","27875","7","0","511",Scranton,,136.986301369863,1462926064.75208,668994.049821798
"275","27876","30","1","1290",Seaboard,,232.558139534884,1161065802.28784,286123.221519332
"276","27880","88","0","3280",Sims,,268.292682926829,661768421.449585,178936.521495753
"277","27881",,,"323",Speed,Population <500 and Cases <5,,45624486.2655029,35379.3892263349
"278","27882","279","3","7927",Spring Hope,,351.961650056768,2721376125.90833,404465.358087667
"279","27883","83","1","4361",Stantonsburg,,190.323320339372,2149873597.18677,378850.12800901
"280","27884","27","0","1545",Stokes,,174.757281553398,1118165618.53992,178810.199825372
"281","27885","56","3","859",Swanquarter,,651.920838183935,3236637890.30994,778832.459471456
"282","27886","604","30","21595",Tarboro,,279.694373697615,5534275751.92761,530150.851444626
"283","27888","75","0","2803",Walstonburg,,267.570460221192,1661899290.0293,260588.447365408
"284","27889","678","21","27543",Washington,,246.160548959808,4746901259.41052,624948.845007958
"285","27890","51","3","2398",Weldon,,212.677231025855,250295126.203369,88214.5142201125
"286","27891","93","6","5011",Whitakers,,185.59169826382,3802342458.24487,551887.618669609
"287","27892","316","3","14363",Williamston,,220.009747267284,4740161664.64209,528153.604658045
"288","27893","1284","32","40647",Wilson,,315.890471621522,3134674028.43115,441390.734015219
"289","27896","438","13","21212",Wilson,,206.486894210824,1013992738.34033,260787.736893695
