Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
346107.0725,190,0,55479,27603,,1420350589,Raleigh,62
102838.7591,431,7,31253,28211,,292827786.1,Charlotte,62
186776.5633,493,6,18171,28374,,609888351.2,Pinehurst,62
237465.1309,270,1,26633,27870,,1958976214,Roanoke Rapids,61
297671.816,770,2,43841,28806,,1123591112,Asheville,61
624989.7249,20,1,37641,27030,,4824085733,Mount Airy,59
131097.0877,439,2,40227,28226,,430471271.2,Charlotte,58
930216.0371,661,2,47621,28645,,9179149392,Lenoir,57
403366.4923,34,0,14521,27055,,3115987965,Yadkinville,56
95880.16303,196,1,38631,27609,,310136046.8,Raleigh,56
72359.48477,429,0,26012,28209,,157335764.5,Charlotte,56
329846.8533,476,1,36052,28348,,1166315651,Hope Mills,56
452196.7203,408,0,30382,28146,,3012969419,Salisbury,55
260787.7369,289,0,21212,27896,,1013992738,Wilson,54
428957.8635,546,1,4137,28453,,2286467270,Magnolia,52
327151.7569,392,2,41536,28115,,2057262513,Mooresville,50
130217.4452,447,1,17717,28301,,348717238.9,Fayetteville,50
544402.1582,466,1,26215,28334,,4497238670,Dunn,50
242725.2981,127,0,43747,27502,,840126405.5,Apex,49
336033.6185,150,0,53854,27529,,1666161335,Garner,49
861662.7569,344,1,10633,27983,,9431469996,Windsor,49
145983.7251,376,1,25877,28083,,582493569.4,Kannapolis,49
363920.1173,484,1,14944,28360,,1985862697,Lumberton,49
364916.1435,682,2,35614,28677,,2372250828,Statesville,49
246465.4698,446,1,32539,28278,,902762098.1,Charlotte,48
278228.3939,91,1,7156,27316,,1975410509,Ramseur,47
299162.9937,139,0,28831,27517,,1520140848,Chapel Hill,46
395293.6304,262,1,58170,27858,,1683129153,Greenville,46
234425.7573,393,1,47608,28117,,1555969691,Mooresville,46
240844.8641,455,2,36046,28311,,1336136656,Fayetteville,46
213915.0206,465,0,10709,28333,,1249687747,Dudley,46
414968.2821,527,4,6741,28431,,2019287634,Chadbourn,46
549753.328,551,2,7018,28458,,3025757032,Rose Hill,46
181619.7402,88,7,7288,27313,,760352714.6,Pleasant Garden,45
438904.0793,138,3,44117,27516,,2564236092,Chapel Hill,45
89264.67551,204,2,26489,27701,,147212202.1,Durham,45
625626.1504,567,2,19507,28501,,2991635337,Kinston,45
365850.7505,628,1,49848,28601,,1378207425,Hickory,45
349078.2906,665,0,6653,28651,,2065649256,Millers Creek,45
298032.7495,216,1,21556,27801,,1947625744,Rocky Mount,44
283794.5081,269,8,2167,27869,,2314340977,Rich Square,44
407599.9153,77,2,41465,27292,,4270233445,Lexington,43
200259.109,375,0,28249,28081,,862858421.9,Kannapolis,43
71458.05022,426,0,15244,28206,,182577260.7,Charlotte,43
354913.7965,502,0,6068,28386,,1134602513,Shannon,43
339539.5153,92,1,17851,27317,,1700826686,Randleman,42
283660.3703,373,2,39813,28079,,1221176124,Indian Trail,42
402405.5411,601,1,14265,28551,,3578620060,La Grange,42
189783.4691,365,0,36823,28052,,1165429048,Gastonia,41
502574.675,70,0,27181,27278,,2885765742,Hillsborough,40
416726.9663,179,0,25214,27577,,2877290651,Smithfield,40
450516.2284,470,1,10738,28340,,3757196815,Fairmont,40
249658.2288,67,0,22320,27263,,1121512605,High Point,39
348394.4421,364,2,21472,28043,,1816346054,Forest City,39
139549.0837,366,1,40184,28054,,562652947.8,Gastonia,39
332606.5239,474,1,12656,28345,,2126402413,Hamlet,39
100334.7693,114,2,20221,27401,,171748092.1,Greensboro,38
162336.2946,136,1,49003,27513,,474399121.2,Cary,38
438869.8724,480,0,25298,28352,,3264782876,Laurinburg,38
166930.3248,141,1,59960,27519,,609072010.4,Cary,37
318858.0645,420,0,63837,28173,,3045162637,Waxhaw,37
460017.9819,499,0,7713,28383,,2904453854,Rowland,37
304549.151,616,1,7044,28578,,1837860745,Seven Springs,37
134192.8399,201,0,46038,27615,,525952455,Raleigh,36
34485.90539,422,0,16755,28202,,50452583.91,Charlotte,36
54761.27337,423,0,19070,28203,,91001089.48,Charlotte,36
1030041.144,607,1,28926,28560,,3309199655,New Bern,36
567238.1361,19,0,28039,27028,,5475621774,Mocksville,35
298200.3589,50,3,44892,27215,,1827823774,Burlington,35
521476.9698,63,0,31464,27253,,2351372928,Graham,35
431527.9878,79,0,10440,27298,,2639148530,Liberty,35
267151.4971,193,1,47938,27606,,750229681.9,Raleigh,35
314786.3823,217,2,22337,27803,,1209689022,Rocky Mount,35
486262.1813,129,1,16320,27504,,2584462015,Benson,34
260797.112,626,1,26551,28590,,1153236269,Winterville,33
627405.109,646,0,38862,28625,,5528677082,Statesville,33
568385.679,187,1,25494,27597,,3191967657,Zebulon,32
646652.7502,558,0,10375,28466,,4134830722,Wallace,32
216402.1154,569,0,2984,28508,,979966062.9,Albertson,32
238150.0234,370,3,19174,28075,,656107496.7,Harrisburg,31
473932.9451,576,1,8803,28518,,2702594658,Beulaville,31
644303.5943,82,0,32302,27302,,3198656461,Mebane,30
460586.982,148,0,54027,27526,,2787678657,Fuquay Varina,30
164483.0829,198,2,39208,27612,,428868509.3,Raleigh,30
223861.5338,266,1,4823,27864,,1058515930,Pinetops,30
558805.2488,292,1,11609,27910,,3854004912,Ahoskie,30
325979.6926,386,3,32469,28104,,824578845.6,Matthews,30
250563.5239,290,1,2467,27897,,1262848507,Woodland,29
344787.6068,367,1,35595,28056,,1342394953,Gastonia,29
655726.4723,419,0,12494,28170,,5053183842,Wadesboro,29
421094.6191,471,0,5080,28341,,2787115249,Faison,29
320128.8405,130,0,7308,27505,,1509842573,Broadway,28
98702.65273,135,1,34041,27511,,333520579,Cary,28
161555.4869,443,1,34753,28270,,345778417.6,Charlotte,28
464303.2233,486,0,15170,28364,,3845135736,Maxton,28
221583.068,767,2,34731,28803,,1148499782,Asheville,28
312475.1808,185,0,17368,27592,,1090932848,Willow Spring,27
508647.1392,260,1,17301,27856,,3696764196,Nashville,27
88085.45383,402,1,11817,28134,,248618254.3,Pineville,27
245813.2179,518,0,42977,28412,,635947452.3,Wilmington,27
339571.1066,178,1,20197,27576,,2407427118,Selma,26
184431.644,199,0,46521,27613,,675406849.4,Raleigh,26
179304.1545,448,0,34600,28303,,540160738,Fayetteville,26
135103.2987,514,0,41945,28403,,403456249.5,Wilmington,26
295573.2091,666,0,3800,28654,,1821577422,Moravian Falls,26
272309.5639,121,0,56968,27410,,859363574.9,Greensboro,25
198282.8604,124,2,29197,27455,,816075696.7,Greensboro,25
329143.1898,126,1,21338,27501,,1683348455,Angier,25
361578.8149,144,0,13652,27522,,2172960810,Creedmoor,25
380727.3921,184,0,23448,27591,,1913446220,Wendell,25
70799.37497,413,1,4015,28160,,170326604.5,Spindale,25
229991.0865,490,2,7085,28371,,1005950088,Parkton,25
287302.8361,504,1,23494,28390,,1630867413,Spring Lake,25
591854.5498,517,2,38820,28411,,1477023573,Wilmington,25
451555.7225,669,0,25858,28658,,2022657893,Newton,25
316969.4869,12,0,6104,27020,,2114111622,Hamptonville,24
277199.4505,543,3,2397,28450,,1482484363,Lake Waccamaw,24
373362.0244,618,2,12031,28580,,3261656824,Snow Hill,24
255811.9746,10,1,8221,27018,,2331567910,East Bend,23
183078.9801,15,1,12775,27023,,807172159,Lewisville,23
259108.004,47,2,4151,27209,,1198089302,Biscoe,23
57867.60327,134,1,14543,27510,,88705554.57,Carrboro,23
153016.8504,345,0,2650,27986,,374234308.9,Winton,23
170607.8419,348,0,24276,28012,,865729022.1,Belmont,23
246986.8201,421,1,9287,28174,,985461754.8,Wingate,23
556260.3365,456,0,18419,28312,,4341373681,Fayetteville,23
218912.3198,200,0,37689,27614,,829063194.9,Raleigh,22
329012.9996,699,0,21728,28704,,1481682959,Arden,22
210392.9007,13,0,17979,27021,,1469376476,King,21
162957.9225,35,0,24321,27101,,356085731.4,Winston Salem,21
344702.9007,109,0,14622,27370,,1663817222,Trinity,21
339054.6171,157,0,39075,27540,,1299006109,Holly Springs,21
268297.1197,169,0,33691,27560,,794384947.4,Morrisville,21
41226.74282,189,0,12139,27601,,49970514.21,Raleigh,21
125016.7435,203,0,19511,27617,,230483847.7,Raleigh,21
591795.3824,234,0,7812,27823,,5279947738,Enfield,21
624948.845,284,0,27543,27889,,4746901259,Washington,21
528153.6047,287,2,14363,27892,,4740161665,Williamston,21
277795.9522,353,0,14843,28023,,1273875684,China Grove,21
215322.2913,359,2,17859,28034,,1273410669,Dallas,21
577770.2259,467,0,11927,28337,,5069041872,Elizabethtown,21
364175.1809,650,0,20369,28630,,1749206123,Granite Falls,21
274379.5943,707,1,27289,28715,,1975153882,Candler,21
729852.0194,737,1,31501,28752,,6843838241,Marion,21
355282.6631,1,2,14872,27006,,1744189234,Advance,20
255774.3032,5,0,28954,27012,,1176567386,Clemmons,20
245160.3328,104,0,3196,27355,,1016358703,Staley,20
357387.5346,405,0,11659,28138,,1278406256,Rockwell,20
522799.0988,523,1,12625,28425,,4872852970,Burgaw,20
426610.0652,587,0,7474,28530,,1906098626,Grifton,20
362168.6396,638,1,25216,28613,,1220326346,Conover,20
412700.7594,685,0,26959,28681,,4726487413,Taylorsville,20
